2458197.9311000002 -0.0450000000 0.0270000000
2458197.9544099998 -0.0270000000 0.0270000000
2458197.9706199998 -0.0100000000 0.0280000000
2458198.9235499999 -0.0510000000 0.0270000000
2458198.9434400001 0.0270000000 0.0280000000
2458198.9715900002 -0.0660000000 0.0270000000
2458198.9878500002 -0.0030000000 0.0280000000
2458199.0124700000 -0.0270000000 0.0270000000
2458199.0133900000 0.0080000000 0.0280000000
2458199.0338099999 0.0060000000 0.0280000000
2458199.0347400000 -0.0500000000 0.0270000000
2458203.8735600002 0.0580000000 0.0240000000
2458204.9305599998 -0.1010000000 0.0220000000
2458204.9521900001 -0.0380000000 0.0230000000
2458204.9768099999 -0.0440000000 0.0230000000
2458204.9806100000 -0.0080000000 0.0240000000
2458204.9815300000 -0.0080000000 0.0240000000
2458205.0170999998 -0.0110000000 0.0220000000
2458205.0180299999 -0.0440000000 0.0230000000
2458205.9096200000 0.1060000000 0.0250000000
2458205.9468800002 -0.0640000000 0.0230000000
2458205.9770200001 0.0080000000 0.0240000000
2458205.9959700000 0.0180000000 0.0240000000
2458206.0183600001 0.0320000000 0.0240000000
2458206.9263499998 -0.0150000000 0.0230000000
2458206.9726000000 -0.0230000000 0.0230000000
2458206.9976599999 -0.0370000000 0.0230000000
2458207.0171099999 -0.0240000000 0.0230000000
2458207.9227000000 -0.0670000000 0.0230000000
2458207.9236300001 -0.0170000000 0.0230000000
2458207.9537800001 0.0040000000 0.0240000000
2458207.9547000001 0.0450000000 0.0230000000
2458207.9594399999 -0.0490000000 0.0230000000
2458207.9603700000 -0.0160000000 0.0230000000
2458207.9948399998 0.0990000000 0.0240000000
2458207.9957699999 0.0560000000 0.0240000000
2458208.0150299999 -0.0220000000 0.0230000000
2458208.9303400000 0.0510000000 0.0240000000
2458208.9779800000 0.0710000000 0.0250000000
2458208.9927900000 0.0250000000 0.0240000000
2458209.0132300002 0.0000000000 0.0240000000
2458209.0213100002 0.0410000000 0.0240000000
2458209.9552799999 -0.0270000000 0.0230000000
2458209.9720399999 -0.0110000000 0.0240000000
