245 1.16039 -24.25000 -79.07657 116 10 71 77 77 10 1 5 0
246 8.55346 -24.25000 -85.16935 116 31 56 81 82 9 1 2 2
247 15.94654 -24.25000 -85.99745 101 30 77 79 83 10 1 1 2
248 23.33961 -24.25000 -80.13086 95 14 68 71 72 11 1 1 0
249 30.73268 -24.25000 -73.65325 101 12 23 62 58 10 1 1 0
250 38.12575 -24.25000 -67.08884 88 7 49 62 58 5 1 1 0
251 45.51882 -24.25000 -60.51006 80 3 67 67 59 0 1 1 0
252 52.91189 -24.25000 -53.94147 79 3 59 58 63 0 1 1 0
253 60.30496 -24.25000 -47.39710 69 1 51 51 53 0 1 1 0
254 67.69804 -24.25000 -40.88819 65 1 46 47 47 0 1 1 0
255 75.09111 -24.25000 -34.42574 57 0 45 38 44 0 1 1 0
256 82.48418 -24.25000 -28.02161 50 2 51 38 49 0 2 1 0
257 89.87725 -24.25000 -21.68935 49 576 40 37 52 0 1 193 0
258 97.27032 -24.25000 -15.44497 42 375 29 30 42 0 1 159 0
259 104.66339 -24.25000 -9.30775 29 447 0 15 26 0 0 176 0
260 112.05646 -24.25000 -3.30129 54 345 581 28 47 0 1 191 0
261 119.39571 -24.25000 2.50331 61 343 0 30 33 0 1 168 0
262 126.68114 -24.25000 8.07443 40 344 0 19 25 0 1 168 0
263 133.96657 -24.25000 13.41188 47 0 0 29 17 0 0 0 0
264 141.25200 -24.25000 18.46171 57 0 18 33 32 0 1 1 0
265 148.53743 -24.25000 23.15718 61 1 14 31 31 0 1 1 0
266 155.82286 -24.25000 27.41713 56 2 18 34 31 0 1 1 0
267 163.10829 -24.25000 31.14574 48 2 22 32 28 0 1 1 0
268 170.39371 -24.25000 34.23532 50 3 17 35 28 0 1 1 0
269 177.67914 -24.25000 36.57407 50 3 14 31 27 0 1 1 0
270 184.96457 -24.25000 38.05990 45 0 0 24 18 0 0 1 0
271 192.25000 -24.25000 38.61838 44 0 24 26 30 0 1 1 0
272 199.53543 -24.25000 38.21938 51 0 0 27 22 0 0 0 0
273 206.82086 -24.25000 36.88455 51 0 12 28 25 0 1 1 0
274 214.10629 -24.25000 34.68190 50 0 0 25 21 0 0 1 0
275 221.39171 -24.25000 31.71023 56 0 0 28 25 0 0 1 0
276 228.67714 -24.25000 28.08080 62 0 0 33 26 0 0 1 0
277 235.96257 -24.25000 23.90269 61 0 0 30 30 0 0 0 0
278 243.24800 -24.25000 19.27402 51 0 0 23 28 0 0 0 0
279 250.53343 -24.25000 14.27846 52 161 143 25 76 0 0 139 0
280 257.81886 -24.25000 8.98505 55 164 265 22 82 0 1 130 0
281 265.10429 -24.25000 3.44975 59 388 143 49 97 68 1 139 10
282 272.44354 -24.25000 -2.32545 42 363 368 26 91 67 1 132 10
283 279.83661 -24.25000 -8.30771 65 160 381 31 88 0 1 130 0
284 287.22968 -24.25000 -14.42512 64 156 243 29 83 0 1 110 0
285 294.62275 -24.25000 -20.65327 73 0 145 39 36 0 0 137 0
286 302.01582 -24.25000 -26.97222 89 1 15 54 41 0 1 2 0
287 309.40889 -24.25000 -33.36549 103 1 12 54 53 0 1 2 0
288 316.80196 -24.25000 -39.81917 97 2 18 50 55 0 1 2 0
289 324.19504 -24.25000 -46.32119 99 2 16 49 60 0 1 1 0
290 331.58811 -24.25000 -52.86046 109 2 28 64 65 0 1 1 0
291 338.98118 -24.25000 -59.42590 97 2 36 61 59 0 1 1 0
292 346.37425 -24.25000 -66.00424 100 25 33 63 63 23 1 1 0
293 353.76732 -24.25000 -72.57375 97 24 83 72 75 22 1 2 1
294 1.62711 -17.05000 -75.52836 147 18 83 96 102 11 1 2 0
295 8.70904 -17.05000 -79.21560 133 28 110 102 103 23 1 2 1
296 15.79096 -17.05000 -79.56349 135 25 110 95 112 22 1 2 0
297 22.87289 -17.05000 -76.31435 126 28 109 95 114 26 1 2 0
298 29.95482 -17.05000 -71.25809 127 16 111 100 112 12 1 1 0
299 37.03675 -17.05000 -65.49615 127 16 153 116 133 11 2 1 0
300 44.11868 -17.05000 -59.43438 124 16 98 87 103 12 2 1 0
301 51.20061 -17.05000 -53.23174 125 4 126 108 113 0 1 1 0
302 58.28254 -17.05000 -46.96156 112 5 121 100 103 0 1 2 0
303 65.36446 -17.05000 -40.66362 111 5 77 84 91 0 1 2 0
304 72.44639 -17.05000 -34.36307 107 1 109 94 96 0 1 2 0
305 79.52832 -17.05000 -28.07851 103 5 89 83 85 0 1 2 0
306 86.61025 -17.05000 -21.82575 102 3 92 82 90 0 1 1 0
307 93.69218 -17.05000 -15.62002 92 3 56 61 68 0 1 1 0
308 100.77411 -17.05000 -9.47744 76 360 0 35 61 0 1 133 0
309 107.85604 -17.05000 -3.41626 131 360 0 66 79 0 1 133 0
310 114.91235 -17.05000 2.52051 124 419 0 68 62 0 1 273 0
311 121.94304 -17.05000 8.30791 78 275 0 40 40 0 0 269 0
312 128.97374 -17.05000 13.93524 82 0 0 45 34 0 1 0 0
313 136.00443 -17.05000 19.36136 84 0 16 46 42 0 1 1 0
314 143.03513 -17.05000 24.53372 99 3 38 54 50 0 1 20 0
315 150.06583 -17.05000 29.38511 95 2 35 50 47 0 1 16 0
316 157.09652 -17.05000 33.83039 75 3 34 43 47 0 2 1 0
317 164.12722 -17.05000 37.76412 78 0 30 44 44 0 2 1 0
318 171.15791 -17.05000 41.06140 79 5 0 39 35 0 1 1 0
319 178.18861 -17.05000 43.58531 69 13 0 33 38 0 1 3 0
320 185.21930 -17.05000 45.20414 76 2 0 44 31 0 0 1 0
