J000121.0+444330 0.33755 44.72501 4.20000 4.66000e-04 1.54519e-04
J000121.3+444028 0.33888 44.67447 3.00000 2.00000e-03 nan
J000124.4-074305 0.35184 -7.71816 4.80000 2.76000e-03 nan
J000124.7+501708 0.35307 50.28569 6.50000 2.79000e-03 nan
J000124.9+444554 0.35379 44.76509 3.80000 7.45000e-04 nan
J000126.6+622928 0.36089 62.49121 4.50000 3.16000e-03 1.53032e-03
J000127.0-073812 0.36268 -7.63690 6.20000 2.72000e-03 nan
J000127.4+501650 0.36453 50.28061 7.90000 8.49000e-03 nan
J000129.3+443844 0.37231 44.64566 4.90000 4.60000e-04 nan
J000130.1+444414 0.37576 44.73730 5.40000 9.34000e-04 nan
J000131.3-070230 0.38062 -7.04176 5.20000 1.73000e-03 nan
J000133.2-070812 0.38843 -7.13679 5.20000 1.81000e-03 nan
J000133.6+444031 0.39025 44.67547 2.80000 4.60000e-03 2.14819e-02
J000136.0+130637 0.40010 13.11053 3.80000 5.87000e-03 4.96924e-03
J000137.5+443836 0.40656 44.64356 5.00000 1.46000e-04 nan
J000139.7+442610 0.41556 44.43613 5.60000 1.67000e-03 4.37644e-04
J000143.2+130308 0.43041 13.05238 5.10000 4.40000e-04 nan
J000144.7+131148 0.43642 13.19670 4.30000 2.95000e-03 1.04305e-03
J000146.9+673021 0.44548 67.50602 5.80000 3.67000e-03 nan
J000148.4+701822 0.45185 70.30615 6.00000 8.10000e-04 nan
J000148.6+125856 0.45275 12.98239 4.40000 1.85000e-03 nan
J000148.9+130820 0.45395 13.13902 5.30000 6.45000e-04 nan
J000149.9+032741 0.45814 3.46166 5.40000 3.89000e-03 nan
J000154.0-070628 0.47532 -7.10792 6.60000 1.43000e-03 nan
J000154.6+672443 0.47789 67.41216 5.20000 3.61000e-03 nan
J000154.9-002131 0.47904 -0.35884 6.10000 1.34000e-02 nan
J000155.2+673541 0.48031 67.59491 5.00000 6.24000e-03 1.12728e-05
J000156.2+131436 0.48445 13.24339 4.70000 1.73000e-03 8.52476e-05
J000157.0-103119 0.48756 -10.52214 5.80000 4.02000e-03 nan
J000159.7+622805 0.49908 62.46820 5.30000 1.61000e-03 nan
J000159.8+130714 0.49925 13.12066 4.60000 1.37000e-03 nan
J000202.8-103038 0.51195 -10.51061 3.80000 2.32000e-02 nan
J000206.2+130647 0.52593 13.11330 5.80000 1.30000e-03 nan
J000209.1-001738 0.53808 -0.29403 6.50000 2.45000e-03 nan
J000211.4+672415 0.54773 67.40435 6.20000 2.46000e-02 nan
J000211.7-001826 0.54884 -0.30741 5.70000 1.86000e-03 nan
J000212.8+032023 0.55359 3.33998 5.50000 2.06000e-03 nan
J000213.4+033234 0.55602 3.54298 5.90000 1.58000e-03 nan
J000213.5-103818 0.55643 -10.63852 4.60000 5.53000e-03 nan
J000216.2+672420 0.56763 67.40557 7.10000 0.00000e+00 0.00000e+00
J000217.2+032427 0.57195 3.40768 5.00000 1.18000e-03 nan
J000219.7+033113 0.58223 3.52034 5.50000 2.27000e-03 nan
J000226.4+032110 0.61022 3.35279 3.50000 3.32000e-01 nan
J000228.1+031754 0.61729 3.29855 4.80000 1.10000e-03 nan
