J001129.0-101110 2.87083 -10.18636 0.86288 intrinsic,binary_star,W_Uma
J001130.6-124814 2.87783 -12.80408 0.37177 intrinsic,binary_star,W_Uma
J001131.7-112029 2.88229 -11.34164 2.16852 intrinsic,binary_star,Beta_Lyr
J001139.1-162641 2.91308 -16.44475 0.43543 intrinsic,binary_star,W_Uma
J001143.0+443719 2.92942 44.62217 0.55280 intrinsic,RR_Lyrae,RR_Lyrae_ab
J001145.6+181545 2.94029 18.26264 0.29767 intrinsic,binary_star,W_Uma
J001145.7+181545 2.94071 18.26256 0.29766 intrinsic,binary_star,W_Uma
J001148.6-120457 2.95271 -12.08269 0.25525 intrinsic,binary_star,W_Uma
J001154.8+034927 2.97833 3.82425 0.26756 intrinsic,binary_star,W_Uma
J001156.0+431630 2.98350 43.27503 0.35993 intrinsic,binary_star,W_Uma
J001156.9+162328 2.98708 16.39125 0.46475 intrinsic,binary_star,W_Uma
J001217.5+054653 3.07317 5.78150 0.27234 intrinsic,binary_star,W_Uma
J001218.2+231608 3.07596 23.26897 0.26875 intrinsic,binary_star,W_Uma
J001223.3+274350 3.09742 27.73081 nan phenomenological,variable
J001223.5+274350 3.09829 27.73056 1.82850 intrinsic,binary_star,detached_eclipsing_MS-MS
J001226.4+290852 3.11017 29.14781 0.39842 intrinsic,binary_star,W_Uma
J001226.4+384325 3.11017 38.72372 0.36572 intrinsic,binary_star,W_Uma
J001226.9+205605 3.11208 20.93497 0.37083 intrinsic,binary_star,W_Uma
J001228.5+274432 3.11904 27.74231 0.23091 intrinsic,binary_star,W_Uma
J001228.7+274431 3.11979 27.74206 0.23091 intrinsic,binary_star,W_Uma
J001231.6-140208 3.13171 -14.03578 0.32632 intrinsic,RR_Lyrae,RR_Lyrae_c
J001238.5-103835 3.16042 -10.64306 0.67494 intrinsic,RR_Lyrae,RR_Lyrae_ab
J001239.0+290410 3.16279 29.06964 0.45259 intrinsic,binary_star,W_Uma
J001241.2+045037 3.17167 4.84361 0.22207 intrinsic,binary_star,W_Uma
J001241.8+224144 3.17450 22.69561 1.06851 intrinsic,binary_star,detached_eclipsing_MS-MS
J001242.4+130809 3.17683 13.13589 0.16409 phenomenological,multi_periodic
J001242.4+252831 3.17700 25.47544 106.04708 intrinsic,pulsator,Cepheid_type-II
J001243.2-120042 3.18029 -12.01192 0.59904 intrinsic,RR_Lyrae,RR_Lyrae_ab
J001244.8-080209 3.18704 -8.03594 0.25542 intrinsic,binary_star,W_Uma
J001246.1+413555 3.19225 41.59875 0.31222 intrinsic,binary_star,W_Uma
J001248.3+201447 3.20162 20.24664 12.47910 intrinsic,RS_CVn
J001259.9+141858 3.24971 14.31619 0.32950 intrinsic,binary_star,W_Uma
J001301.6-165514 3.25700 -16.92061 0.34324 intrinsic,binary_star,W_Uma
J001303.9+030153 3.26629 3.03142 0.39894 intrinsic,binary_star,detached_eclipsing_MS-MS
J001312.9+075804 3.30375 7.96783 1.66574 intrinsic,binary_star,detached_eclipsing_MS-MS
J001319.5+063825 3.33158 6.64053 0.55781 intrinsic,binary_star,W_Uma
J001322.6+054009 3.34446 5.66931 0.28948 intrinsic,binary_star,W_Uma
J001324.0+244918 3.35008 24.82169 0.32573 intrinsic,binary_star,W_Uma
J001324.6+323018 3.35271 32.50517 0.43389 intrinsic,binary_star,W_Uma
J001325.1-140719 3.35487 -14.12217 0.26138 intrinsic,binary_star,W_Uma
J001336.0+125705 3.40017 12.95147 0.48705 intrinsic,binary_star,W_Uma
J001339.5-172907 3.41467 -17.48533 0.46090 intrinsic,RR_Lyrae,RR_Lyrae_ab
J001400.2+091645 3.50087 9.27931 0.25487 intrinsic,binary_star,W_Uma
J001400.3+384145 3.50129 38.69600 0.47293 intrinsic,binary_star,W_Uma
J001404.5-165842 3.51883 -16.97853 0.30402 intrinsic,binary_star,W_Uma
J001406.7-070307 3.52825 -7.05217 0.29093 intrinsic,binary_star,W_Uma
J001407.8+233807 3.53267 23.63528 0.37565 intrinsic,binary_star,W_Uma
J001413.5+144453 3.55654 14.74828 0.30541 intrinsic,binary_star,W_Uma
J001415.9+232628 3.56633 23.44128 0.21644 intrinsic,binary_star,Beta_Lyr
J001419.9+352029 3.58296 35.34164 0.67343 intrinsic,binary_star,W_Uma
J001420.8+031214 3.58683 3.20389 0.38711 intrinsic,RR_Lyrae,RR_Lyrae_d
J001425.1+374238 3.60479 37.71064 0.29511 intrinsic,binary_star,W_Uma
J001426.0+183145 3.60862 18.52925 0.39888 intrinsic,binary_star,detached_eclipsing_MS-MS
J001427.2+402054 3.61346 40.34844 0.47986 intrinsic,binary_star,W_Uma
J001428.8+052240 3.62017 5.37781 0.34753 intrinsic,binary_star,W_Uma
J001428.9+311917 3.62067 31.32139 0.31463 intrinsic,binary_star,W_Uma
J001429.6+133107 3.62346 13.51883 9.89373 intrinsic,pulsator,Cepheid_type-II
J001430.2+365226 3.62604 36.87394 0.42923 intrinsic,binary_star,W_Uma
J001432.3+132640 3.63496 13.44447 0.25015 intrinsic,binary_star,W_Uma
J001432.7-154538 3.63662 -15.76064 0.24615 intrinsic,binary_star,W_Uma
J001435.2+420306 3.64687 42.05192 0.23377 intrinsic,binary_star,W_Uma
J001436.4-075016 3.65175 -7.83794 0.49256 intrinsic,binary_star,W_Uma
J001437.0+035128 3.65437 3.85792 0.31503 intrinsic,binary_star,W_Uma
J001438.9+304401 3.66229 30.73378 0.26161 intrinsic,binary_star,W_Uma
J001445.6+310402 3.69008 31.06722 0.36158 intrinsic,binary_star,W_Uma
J001447.0+414244 3.69583 41.71228 0.27947 intrinsic,binary_star,W_Uma
J001447.2+414243 3.69679 41.71203 0.27947 intrinsic,binary_star,W_Uma
J001449.2+223926 3.70537 22.65742 0.34331 intrinsic,RR_Lyrae,RR_Lyrae_c
J001449.7+400204 3.70733 40.03456 0.24168 intrinsic,binary_star,W_Uma
J001456.3-104904 3.73475 -10.81794 0.37008 intrinsic,RR_Lyrae,RR_Lyrae_c
J001502.3-080329 3.75987 -8.05819 0.25084 intrinsic,binary_star,W_Uma
J001503.1-130914 3.76329 -13.15414 0.29226 intrinsic,binary_star,W_Uma
J001504.9+383107 3.77071 38.51875 0.34528 intrinsic,binary_star,W_Uma
J001505.0+224800 3.77104 22.80014 0.27940 intrinsic,RR_Lyrae,RR_Lyrae_c
J001507.2+352145 3.78017 35.36269 0.41870 intrinsic,binary_star,W_Uma
J001510.0+332157 3.79196 33.36586 0.47463 intrinsic,binary_star,W_Uma
J001512.3+372025 3.80158 37.34044 0.29127 intrinsic,binary_star,W_Uma
J001513.4+444327 3.80604 44.72433 0.37569 intrinsic,binary_star,W_Uma
J001513.4+152403 3.80612 15.40092 0.24943 intrinsic,binary_star,W_Uma
J001517.9+362425 3.82483 36.40717 0.30013 intrinsic,binary_star,W_Uma
J001518.6+123517 3.82758 12.58828 0.25392 intrinsic,binary_star,W_Uma
J001518.8+435011 3.82833 43.83642 0.41164 intrinsic,binary_star,W_Uma
J001524.6+132844 3.85250 13.47900 1.04558 intrinsic,binary_star,detached_eclipsing_MS-MS
J001526.1+335056 3.85875 33.84900 0.26422 intrinsic,binary_star,W_Uma
J001528.7+424723 3.86979 42.78997 0.36371 intrinsic,binary_star,W_Uma
J001531.4+124934 3.88112 12.82636 0.36347 intrinsic,binary_star,W_Uma
J001531.7-084634 3.88229 -8.77622 0.24102 intrinsic,binary_star,W_Uma
J001533.0+274017 3.88779 27.67153 0.23745 intrinsic,binary_star,W_Uma
J001537.7+312045 3.90725 31.34592 0.30903 intrinsic,binary_star,W_Uma
J001541.7+362258 3.92375 36.38294 0.30417 intrinsic,RR_Lyrae,RR_Lyrae_c
J001542.2-043220 3.92617 -4.53900 0.29934 intrinsic,RR_Lyrae,RR_Lyrae_c
J001544.7+273834 3.93625 27.64297 0.46586 intrinsic,binary_star,W_Uma
J001546.6+193807 3.94437 19.63550 0.24766 intrinsic,binary_star,W_Uma
J001546.9+231523 3.94562 23.25644 0.27125 intrinsic,binary_star,W_Uma
J001547.7+404520 3.94887 40.75556 0.40559 intrinsic,binary_star,W_Uma
J001547.7-143517 3.94900 -14.58814 0.27936 intrinsic,RR_Lyrae,RR_Lyrae_c
J001548.5+214410 3.95208 21.73611 0.25524 intrinsic,binary_star,W_Uma
J001550.1+412802 3.95892 41.46733 0.85045 intrinsic,binary_star,W_Uma
J001551.1+411531 3.96329 41.25861 0.26590 intrinsic,binary_star,W_Uma
J001553.2+093632 3.97167 9.60892 11.46064 intrinsic,pulsator,Cepheid_type-II
J001553.5+293657 3.97329 29.61583 0.21764 intrinsic,binary_star,W_Uma
J001555.1+141524 3.97992 14.25686 0.34045 intrinsic,binary_star,W_Uma
J001555.5+232517 3.98158 23.42158 0.26386 intrinsic,binary_star,W_Uma
J001556.7+411222 3.98662 41.20617 0.34997 intrinsic,binary_star,W_Uma
J001559.7+115937 3.99879 11.99381 0.38456 intrinsic,binary_star,W_Uma
J001605.4+415123 4.02283 41.85639 0.40130 intrinsic,binary_star,W_Uma
J001610.2+273430 4.04283 27.57525 0.32535 intrinsic,binary_star,W_Uma
J001612.7+330652 4.05292 33.11467 0.31746 intrinsic,binary_star,W_Uma
