J0030.4+0451 7.61600 4.86600 0.02100 0.02000 41.00000 80.80000 6.07000e+01 1.50000e+00
J0030.7-0209 7.69800 -2.15700 0.07100 0.06900 -75.00000 15.00000 1.13000e+01 1.00000e+00
J0031.2-2320 7.81300 -23.34300 0.18000 0.14200 -65.00000 4.20000 2.70000e+00 7.00000e-01
J0031.3+0724 7.83000 7.41500 0.07900 0.06500 -52.00000 5.10000 2.70000e+00 8.00000e-01
J0031.6+0938 7.92300 9.64800 0.09400 0.09000 -61.00000 5.10000 4.30000e+00 9.00000e-01
J0032.3-2852 8.09000 -28.87700 0.07800 0.07300 -87.00000 4.90000 2.60000e+00 6.00000e-01
J0032.5+3912 8.14600 39.21300 0.08800 0.08300 -62.00000 5.00000 3.80000e+00 8.00000e-01
J0033.6-1921 8.40200 -19.36400 0.01900 0.01900 -73.00000 39.20000 3.70000e+01 2.60000e+00
J0034.3-0534 8.59000 -5.58200 0.04500 0.04200 70.00000 28.90000 1.80000e+01 1.00000e+00
J0035.2+1513 8.80900 15.22200 0.04300 0.03800 -79.00000 14.00000 1.02000e+01 1.40000e+00
J0035.9+5949 8.98900 59.83200 0.01800 0.01700 -67.00000 27.50000 3.09000e+01 2.00000e+00
J0037.9+1239 9.47700 12.65200 0.04500 0.04200 -25.00000 13.30000 1.02000e+01 1.10000e+00
J0038.0-2501 9.50900 -25.03200 0.10600 0.10100 -80.00000 10.10000 6.60000e+00 8.00000e-01
J0038.0+0012 9.52300 0.20900 0.08900 0.07100 64.00000 7.50000 4.70000e+00 8.00000e-01
J0039.0-2218 9.75000 -22.30700 0.10500 0.09400 -35.00000 4.40000 2.30000e+00 8.00000e-01
J0039.1-0939 9.78200 -9.65800 0.28300 0.14400 87.00000 4.80000 3.90000e+00 8.00000e-01
J0039.1+4330 9.79800 43.50200 0.05700 0.05300 54.00000 7.00000 3.80000e+00 8.00000e-01
J0039.3+6256 9.83400 62.94200 0.05600 0.05400 -27.00000 12.00000 9.10000e+00 1.10000e+00
J0040.3+4049 10.08300 40.81800 0.04300 0.04000 70.00000 6.40000 2.50000e+00 9.00000e-01
J0040.5-2339 10.14700 -23.65100 0.08900 0.07400 36.00000 4.30000 2.10000e+00 7.00000e-01
J0041.9+3639 10.50000 36.66200 0.07000 0.06700 46.00000 4.60000 2.50000e+00 7.00000e-01
J0042.0+2318 10.51800 23.30500 0.20000 0.11800 -30.00000 6.10000 4.60000e+00 8.00000e-01
J0042.5+4117 10.62900 41.29600 0.16500 0.13300 -42.00000 5.80000 5.90000e+00 9.00000e-01
J0043.5-0444 10.89200 -4.74000 0.06200 0.05300 59.00000 5.80000 3.00000e+00 9.00000e-01
J0043.7-1117 10.93500 -11.28800 0.07400 0.06800 1.00000 5.90000 3.70000e+00 1.10000e+00
J0043.8+3425 10.96900 34.42900 0.03500 0.03300 -85.00000 22.60000 1.79000e+01 1.30000e+00
J0045.3+2126 11.34900 21.44600 0.02600 0.02400 29.00000 22.30000 1.61000e+01 1.40000e+00
J0045.7+1217 11.43500 12.28800 0.03800 0.03600 -87.00000 14.50000 1.08000e+01 1.20000e+00
J0047.0+5658 11.76700 56.97200 0.04200 0.03800 73.00000 18.10000 1.83000e+01 1.30000e+00
J0047.5-2516 11.88700 -25.27500 0.09700 0.06800 -79.00000 12.90000 8.60000e+00 9.00000e-01
J0047.9+5447 11.98400 54.79700 0.06600 0.05400 -23.00000 5.00000 2.90000e+00 1.00000e+00
J0048.0+3950 12.00700 39.84300 0.07700 0.05400 -12.00000 9.20000 5.80000e+00 1.00000e+00
J0048.0+2236 12.01300 22.60100 0.08100 0.06500 9.00000 14.20000 1.17000e+01 1.00000e+00
J0049.0+4224 12.25300 42.41300 0.04700 0.04100 70.00000 6.90000 3.30000e+00 8.00000e-01
J0049.7+0237 12.44100 2.62500 0.07800 0.05600 -42.00000 13.10000 9.30000e+00 9.00000e-01
J0050.4-0449 12.62100 -4.83200 0.11300 0.10000 45.00000 9.00000 7.50000e+00 1.00000e+00
J0050.6-0929 12.67400 -9.48500 0.02700 0.02600 -79.00000 42.00000 4.03000e+01 1.80000e+00
J0051.0-0649 12.76600 -6.81800 0.06300 0.05900 -74.00000 18.40000 1.19000e+01 1.10000e+00
J0051.6+6445 12.90400 64.75900 0.07200 0.05900 49.00000 5.60000 8.20000e+00 1.60000e+00
J0054.8-2455 13.72300 -24.92400 0.04200 0.03200 17.00000 15.80000 1.05000e+01 1.40000e+00
J0055.2-1213 13.80100 -12.23300 0.13800 0.11700 -64.00000 4.70000 3.20000e+00 7.00000e-01
J0056.3-2116 14.07600 -21.28000 0.05700 0.05100 -88.00000 12.00000 7.70000e+00 1.20000e+00
J0056.3-0935 14.09000 -9.59400 0.06200 0.05100 25.00000 9.90000 6.50000e+00 1.20000e+00
J0057.9-0542 14.48300 -5.70800 0.16900 0.12700 -20.00000 5.20000 4.20000e+00 9.00000e-01
J0058.3+3315 14.58700 33.26700 0.11100 0.09800 -68.00000 8.30000 6.20000e+00 8.00000e-01
J0059.2-0152 14.80800 -1.88300 0.07000 0.06700 32.00000 6.00000 3.40000e+00 9.00000e-01
J0059.6+0003 14.90500 0.05200 0.23300 0.19300 -54.00000 4.50000 3.80000e+00 8.00000e-01
J0100.2+0745 15.06800 7.76600 0.03000 0.02900 -69.00000 23.10000 1.93000e+01 1.80000e+00
J0102.1+4458 15.53700 44.97200 0.17500 0.12100 42.00000 4.10000 3.00000e+00 8.00000e-01
J0102.1+0943 15.54000 9.72800 0.08200 0.06700 -53.00000 7.10000 5.20000e+00 9.00000e-01
J0102.3+4217 15.59500 42.28900 0.12400 0.10800 10.00000 12.70000 1.00000e+01 9.00000e-01
J0102.8+4840 15.70100 48.67300 0.03800 0.03600 27.00000 20.30000 1.68000e+01 1.40000e+00
J0102.8+5825 15.70400 58.42400 0.02000 0.01900 1.00000 51.50000 5.95000e+01 1.90000e+00
J0103.4+5336 15.86400 53.61500 0.04500 0.04000 -50.00000 10.40000 7.60000e+00 1.00000e+00
J0103.7+1323 15.94100 13.39200 0.08200 0.06800 -48.00000 7.10000 4.30000e+00 8.00000e-01
J0105.1-2415 16.29100 -24.25900 0.11900 0.10200 32.00000 13.20000 9.20000e+00 8.00000e-01
J0105.3+3928 16.33000 39.47200 0.09200 0.08300 -84.00000 8.10000 5.50000e+00 8.00000e-01
J0106.5+4855 16.62700 48.92400 0.03400 0.03200 -17.00000 27.50000 1.91000e+01 1.40000e+00
J0107.0-1208 16.77000 -12.14200 0.12300 0.10700 -59.00000 5.10000 3.30000e+00 8.00000e-01
J0108.5-0035 17.14000 -0.59400 0.23300 0.20000 81.00000 4.20000 3.50000e+00 8.00000e-01
J0108.7+0134 17.18000 1.57900 0.02600 0.02500 -88.00000 71.70000 6.38000e+01 1.70000e+00
J0109.1+1816 17.27800 18.27000 0.04700 0.04300 -66.00000 10.50000 6.30000e+00 9.00000e-01
J0109.8+6132 17.46800 61.54900 0.03300 0.03200 -6.00000 36.50000 5.09000e+01 1.80000e+00
J0110.2+6806 17.57500 68.11500 0.02500 0.02200 -14.00000 19.90000 2.15000e+01 1.70000e+00
J0110.9-1254 17.73500 -12.91300 0.08100 0.06900 -57.00000 5.80000 3.30000e+00 8.00000e-01
J0111.5+0535 17.87700 5.58600 0.08300 0.07800 7.00000 5.20000 2.90000e+00 8.00000e-01
J0112.1+2245 18.02700 22.75900 0.01600 0.01500 18.00000 81.10000 7.78000e+01 2.70000e+00
J0112.8+3207 18.21000 32.12700 0.02800 0.02600 -85.00000 44.50000 3.87000e+01 1.30000e+00
J0113.4+4948 18.37200 49.81500 0.05400 0.04900 -34.00000 12.20000 1.04000e+01 1.10000e+00
J0114.8+1917 18.71000 19.29500 0.14900 0.12200 -86.00000 4.10000 2.90000e+00 8.00000e-01
J0114.8+1326 18.71600 13.43400 0.04400 0.04100 -88.00000 19.00000 1.45000e+01 1.20000e+00
J0115.7+0356 18.93700 3.94100 0.04500 0.04400 18.00000 17.50000 1.34000e+01 1.20000e+00
J0115.8+2519 18.95500 25.33000 0.02900 0.02800 0.00000 17.00000 1.29000e+01 1.30000e+00
J0116.0-1134 19.01300 -11.57800 0.06200 0.05900 -68.00000 19.90000 1.51000e+01 1.00000e+00
J0116.2-2744 19.06600 -27.74000 0.08200 0.07500 42.00000 5.50000 3.10000e+00 7.00000e-01
