# ra dec Gmag rv rvErr parallax ntransits
242.56343373 -33.18759703  13.67896300   3.08457656  19.46261152   1.17291989          27
 48.01918783 -28.98420944   6.63741350 -23.58669867  19.13462907  71.12797759          50
 48.89591068 -28.58566349  11.12843700  24.87101144  16.08656380   5.22444970          34
 27.37328786 -52.12613330  12.93769400  24.92802646  18.57207360   2.19390004          23
254.63683640  -5.35811747  12.97573100  19.61991876  16.18367949   2.97105185          31
195.48425076 -56.09194575  12.01439600  18.41694903  19.70859817   0.99928235          28
195.68635352 -56.09082388  12.64305000  40.13836694  17.70286409   7.29617480          32
194.22584031 -55.33945394  13.63047100 -33.30966109  14.72342609   0.20885786          40
193.63217622 -55.17677670  13.05502700 -31.65247311  18.79484073   1.73016384          32
 83.80702851 -14.39745980  12.30131200  35.03778909  19.62264355   0.77133659          21
277.78349574  23.57607013  12.51892300  14.91201799  19.61697020   2.57538163          21
112.16126651 -64.34897331  12.72012300  28.55032946  17.32205522   0.99822447          26
195.91490417 -55.72200041  14.05573750  19.37264738  18.95851513   0.38386291          22
160.42874714 -29.23184966  12.25557500  28.22848113  18.75451148   2.01291944          25
164.62619364 -43.69054385  13.10365900  14.52405094  19.64502431   0.99071313          21
202.86312806  21.54581584  13.20255700 -11.24382028  16.80065036   7.25086111          34
265.52529899  18.78973090  12.08848800 -43.00714706  19.59553345   4.43347251          26
 94.43828295 -14.61157846  11.66171300  15.07341912  18.05271182   2.06993390          25
302.93055931 -63.57089788  13.01438600  40.73538771  17.95719446   6.10556504          26
187.75310981  31.42395476   7.19631150 -18.03939761  18.83578706  22.23967374          23
 54.89806471  65.19677709  11.65506500   7.43763232  18.56302365   3.05658754          25
322.97864514  34.80832161  11.37019900  70.89700705  19.97117574   1.27592910          21
143.17720487 -34.39972271  13.70815700   0.67221115  19.33605245   6.52714259          24
359.78390788 -50.15620603  12.12548300  35.73345428  16.61900668   3.03275376          42
161.21450522 -40.03235838  12.65466900  28.68282129  19.08427867   1.17818209          22
269.51267598 -70.24792224  12.43446100  -4.90685251  19.65805990   1.65375173          20
179.05100320 -31.20529306  12.41449200 -45.44041543  19.29566589   1.41968908          22
 14.78216206 -43.14502259  12.26035600 117.12315739  18.27842301   2.29422641          52
156.89087358 -39.10546742  13.77013100  -9.06832992  19.46311816   0.43986328          22
266.76895579 -67.70392704  12.56397500   2.85377393  19.64058567   0.88207053          33
269.87209847 -67.81854558  13.32671700 -22.19624982  16.07369526   0.83142674          33
263.31322187 -66.98292302  12.71136800  21.31388122  17.13339184   1.60103308          43
264.05369020 -67.24459087  12.29050350   9.87134771  16.68483778   1.71067389          38
260.98108608 -66.54145369  12.91074600 -80.09490102  19.54070212   0.25903015          33
260.55098517 -66.27619220  13.57157600 -81.84009428  15.56443574   0.24977670          38
260.03175789 -66.13600011  11.94105600  -6.46585445  14.66699261   6.61510092          40
134.64651632 -23.59490092  13.10929800  56.19497657  18.71573257   1.89365148          23
 42.00398696 -62.96452851   7.94350960  46.57270406  19.67402241  10.36558909          23
 14.92975059  56.17962910  11.46748100 -34.51265243  16.66602437   1.34750158          43
 15.32124396  56.36829215  12.36728500 -85.46246663  16.25928816   0.56910129          46
 82.42986906  58.30508783  12.29550000 -27.53230971  19.71102485   0.26120940          20
347.66058791  37.04782798  12.66491600 -31.22326765  19.30381165   1.15819946          21
270.26987757 -61.35011262  13.53745300 -15.58981761  19.97051728   2.51315377          21
  9.48837441 -45.02929495  13.15149000 -27.49969966  19.50100680   0.27001312          27
 67.58131964 -10.28171318  13.69367600   9.57112770  19.58854319   1.59703982          28
186.80683854 -45.51320772  12.85889600 -15.26065910  15.97234284   0.93735707          33
 11.46276117  54.97751510   7.61109730 -17.05369463  15.53271822  20.68553578          53
  8.73501667  54.23189395  12.30612600 -65.98500024  18.26035659   1.06013653          25
314.62877651  -4.03359165  10.68643200 -56.49486523  18.55190135   2.54665778          32
  0.61857875 -50.14945948  12.62102500   1.35036070  17.33650389   3.04865898          42
  4.74134205 -48.34445646  13.22062200  29.65558467  15.76615022   2.41590137          42
242.40849295 -37.33760915  13.91723250  23.28918728  19.31431042   0.16591766          24
269.98630035 -61.29576441  13.58818000  14.62559183  18.62146404   2.36293921          26
