J064103.5+100035 100.26485 10.00975 0.59000 475.00000 4.90510e-14 7.17000e-15
J064111.6+100223 100.29855 10.03987 0.77000 238.00000 7.47290e-14 1.55000e-14
J064112.5+100337 100.30231 10.06036 1.96000 25.50000 2.15750e-13 6.26000e-14
J111958.3-220456 169.99305 -22.08246 0.57000 1190.00000 6.15640e-14 5.03000e-15
J111959.3-220316 169.99731 -22.05452 1.21000 29.20000 7.90610e-15 3.02000e-15
J124918.0-054640 192.32541 -5.77786 2.34000 6.13000 1.14110e-14 7.27000e-15
J124918.1-054455 192.32556 -5.74875 0.68000 224.00000 3.50530e-14 7.22000e-15
J124919.3-054539 192.33065 -5.76100 0.34000 1690.00000 1.39020e-13 9.93000e-15
J124921.9-054826 192.34163 -5.80742 1.43000 14.10000 1.17360e-14 7.92000e-15
J124924.8-055009 192.35357 -5.83585 1.77000 6.47000 7.70420e-15 5.08000e-15
J124925.1-054645 192.35466 -5.77934 1.11000 26.30000 2.87900e-14 8.69000e-15
J124928.4-054655 192.36853 -5.78221 1.27000 12.20000 1.76480e-14 7.18000e-15
J124928.5-054844 192.36899 -5.81228 2.39000 8.17000 4.38880e-15 5.37000e-15
J124933.6-055023 192.39011 -5.83983 1.40000 17.30000 1.30810e-14 6.90000e-15
J124939.8-054341 192.41624 -5.72825 2.55000 11.80000 1.84010e-14 2.18000e-14
J124941.3-054433 192.42221 -5.74255 3.12000 10.00000 6.47380e-14 2.80000e-14
J124941.7-054916 192.42392 -5.82113 1.05000 54.50000 6.88180e-14 1.59000e-14
J124942.6-054748 192.42763 -5.79669 2.18000 7.96000 6.26930e-15 1.16000e-14
J154437.8-112659 236.15785 -11.44981 2.23000 8.89000 1.76270e-14 7.38000e-15
J154438.5-112634 236.16074 -11.44303 1.27000 95.10000 2.14100e-14 4.50000e-15
J154440.0-112741 236.16705 -11.46146 20.00000 14.60000 3.26720e-13 1.36000e-13
J154441.0-112557 236.17116 -11.43253 1.75000 15.00000 1.45270e-14 5.99000e-15
J154441.1-112456 236.17146 -11.41576 1.03000 325.00000 7.02730e-14 1.02000e-14
J162509.4-002052 246.28956 -0.34782 1.60000 11.10000 1.17360e-14 5.33000e-15
J162510.3-002127 246.29315 -0.35763 0.90000 105.00000 1.43180e-14 4.32000e-15
J162804.4-243137 247.01862 -24.52716 1.81000 6.44000 5.94350e-14 5.86000e-14
J162812.7-243121 247.05326 -24.52268 1.11000 34.70000 1.92740e-13 5.14000e-14
J174520.0-290400 266.33354 -29.06675 1.92000 167.00000 1.98230e-12 1.38000e-13
J174520.2-290324 266.33426 -29.05685 2.03000 8.17000 1.99950e-14 4.26000e-15
J174522.2-290415 266.34290 -29.07098 1.90000 6.50000 1.87370e-14 3.94000e-15
J174522.5-290312 266.34380 -29.05352 1.19000 16.50000 3.30960e-15 4.26000e-15
J174704.5-282941 266.76907 -28.49498 1.25000 10.50000 1.83910e-14 3.97000e-15
J174706.5-282946 266.77747 -28.49637 2.41000 21.40000 5.12290e-14 8.57000e-15
J174708.5-282910 266.78549 -28.48629 1.46000 19.10000 5.93250e-14 1.16000e-14
J174708.9-282926 266.78714 -28.49058 1.62000 7.73000 8.40310e-15 6.28000e-15
J174709.9-282832 266.79129 -28.47577 1.90000 8.74000 8.43880e-14 4.08000e-14
J174746.1-290247 266.94229 -29.04653 1.10000 22.30000 4.37380e-14 1.05000e-14
J174747.4-290608 266.94791 -29.10230 1.66000 6.13000 6.12140e-15 5.68000e-15
J174747.6-290452 266.94836 -29.08136 0.74000 254.00000 2.51910e-13 3.16000e-14
J174748.3-290533 266.95166 -29.09272 1.56000 9.03000 6.86990e-15 6.22000e-15
J174751.1-290330 266.96299 -29.05843 1.30000 10.00000 4.26910e-14 1.15000e-14
J174819.4-281545 267.08108 -28.26266 0.47000 93.70000 8.56830e-14 5.73000e-15
J175843.0-240053 269.67924 -24.01475 1.86000 28.20000 5.68330e-14 1.09000e-14
J175845.5-240011 269.68970 -24.00326 2.03000 15.80000 2.10630e-14 6.05000e-15
J175850.1-240204 269.70885 -24.03462 1.58000 389.00000 1.54750e-13 1.14000e-14
J175852.4-240127 269.71873 -24.02433 5.74000 25.00000 1.10250e-13 2.77000e-14
J175856.0-240117 269.73360 -24.02145 2.00000 11.30000 9.00060e-15 5.70000e-15
J175857.3-240150 269.73876 -24.03069 18.58000 11.50000 1.04590e-13 4.93000e-14
J180915.0-201620 272.31256 -20.27226 1.43000 16.50000 1.26200e-14 1.19000e-14
J180918.6-201531 272.32791 -20.25866 1.58000 11.10000 4.23290e-14 2.59000e-14
J181356.7-175802 273.48664 -17.96741 2.47000 10.30000 8.87710e-15 1.21000e-14
J181358.2-175626 273.49254 -17.94059 1.00000 28.60000 1.03320e-14 4.37000e-15
J181400.2-175606 273.50109 -17.93523 1.56000 15.00000 1.05020e-14 4.85000e-15
J181400.8-175820 273.50345 -17.97248 1.67000 11.70000 1.50230e-14 8.22000e-15
