J000006.7+295707 0.02790 29.95190 6.00000 1.66300e-02
J000010.7+300610 0.04460 30.10280 2.00000 2.85400e-02
J000029.0+622214 0.12080 62.37080 8.00000 2.94600e-03
J000033.7+623629 0.14040 62.60830 16.00000 1.01000e-02
J000039.7+300316 0.16540 30.05440 10.00000 2.58000e-03
J000041.0+621037 0.17080 62.17720 2.00000 1.83100e-01
J000041.5+621037 0.17290 62.17720 2.00000 1.44600e-01
J000047.8+295229 0.19920 29.87470 5.00000 6.11100e-03
J000058.5+294234 0.24380 29.70940 7.00000 2.07000e-02
J000058.6+294819 0.24420 29.80530 10.00000 6.08200e-03
J000122.0+622944 0.34170 62.49580 11.00000 7.53000e-03
J000124.7+622917 0.35290 62.48830 13.00000 6.62600e-03
J000126.9+622932 0.36210 62.49220 6.00000 3.06800e-03
J000138.2+722145 0.40920 72.36250 7.00000 1.46600e-03
J000141.1+720959 0.42130 72.16670 16.00000 5.13100e-03
J000145.8+721404 0.44080 72.23450 6.00000 3.71900e-03
J000154.5+623230 0.47710 62.54190 8.00000 2.41400e-03
J000200.9-255905 0.50370 -25.98500 16.00000 2.85400e-03
J000201.0+622611 0.50420 62.43670 6.00000 1.77800e-03
J000203.4+624336 0.51420 62.72690 12.00000 7.40200e-03
J000217.9+623742 0.57460 62.62860 7.00000 1.40100e-03
J000220.8-260844 0.58670 -26.14560 8.00000 1.07300e-03
J000222.9-255643 0.59540 -25.94530 6.00000 2.55000e-03
J000225.4+624409 0.60580 62.73580 13.00000 7.11300e-03
J000226.7+725436 0.61130 72.91000 2.00000 4.26600e-02
J000226.8+624110 0.61170 62.68640 9.00000 9.81900e-03
J000232.4-255822 0.63500 -25.97280 5.00000 5.80000e-03
J000232.7+624137 0.63630 62.69390 9.00000 8.43500e-03
J000234.1+621723 0.64210 62.28970 17.00000 3.80600e-03
J000235.6+624415 0.64830 62.73750 12.00000 6.99700e-03
J000236.1-261313 0.65040 -26.22030 13.00000 8.95300e-04
J000237.3+730918 0.65540 73.15530 10.00000 2.46100e-03
J000240.2-260812 0.66750 -26.13670 6.00000 9.17500e-04
J000243.1-255601 0.67960 -25.93360 12.00000 4.16900e-03
J000244.7-255358 0.68630 -25.89940 10.00000 5.77400e-04
J000245.1-255602 0.68790 -25.93390 5.00000 2.39400e-03
J000246.5-255801 0.69380 -25.96690 7.00000 3.46000e-04
J000248.8-260110 0.70330 -26.01940 4.00000 1.69500e-03
J000249.6+624019 0.70670 62.67220 6.00000 1.77700e-03
J000253.2-260337 0.72170 -26.06060 0.00000 8.71800e-02
J000253.5-260340 0.72290 -26.06110 1.00000 8.86800e-02
J000255.4+624621 0.73080 62.77250 2.00000 2.53300e-02
J000256.2-254703 0.73420 -25.78420 3.00000 1.19900e-02
J000256.5-254709 0.73540 -25.78580 9.00000 8.77200e-03
J000257.4-261005 0.73920 -26.16810 7.00000 2.98800e-03
J000257.6-255741 0.74000 -25.96140 6.00000 1.14100e-03
J000257.7-255746 0.74040 -25.96280 8.00000 3.31700e-03
J000259.4-260311 0.74750 -26.05310 2.00000 3.02400e-03
J000259.7-260316 0.74880 -26.05440 8.00000 3.08500e-03
J000300.9+624400 0.75380 62.73360 12.00000 5.82500e-03
J000302.4-255545 0.76000 -25.92920 8.00000 3.91800e-04
J000304.3+725437 0.76790 72.91060 8.00000 2.88900e-03
J000305.1-255804 0.77130 -25.96780 7.00000 3.99500e-04
J000305.1-260418 0.77130 -26.07170 6.00000 6.76200e-04
J000311.3-260250 0.79710 -26.04720 4.00000 1.51700e-03
J000313.8-260534 0.80750 -26.09280 3.00000 2.68200e-03
J000314.2-262037 0.80920 -26.34360 4.00000 3.98500e-03
J000314.3-261318 0.80960 -26.22170 4.00000 1.69600e-03
J000314.3-261322 0.80960 -26.22280 7.00000 3.98500e-03
J000314.6-260920 0.81080 -26.15560 6.00000 4.49700e-04
J000314.7-262049 0.81130 -26.34690 13.00000 6.09500e-03
J000316.0-261451 0.81670 -26.24750 7.00000 9.10600e-04
J000318.4-255906 0.82670 -25.98500 4.00000 1.05400e-03
J000321.6+731313 0.84000 73.22060 7.00000 9.39000e-03
J000322.6-260312 0.84420 -26.05330 2.00000 3.41200e-03
J000322.8-260321 0.84500 -26.05580 6.00000 4.97500e-03
J000323.9-262246 0.84960 -26.37940 16.00000 2.63000e-03
J000324.0+624026 0.85000 62.67420 5.00000 1.92700e-03
J000327.4+622104 0.86420 62.35110 13.00000 2.14700e-03
J000329.2-255019 0.87170 -25.83860 8.00000 9.03700e-04
J000329.9+622450 0.87460 62.41390 7.00000 1.43100e-03
J000330.3-261910 0.87630 -26.31940 11.00000 6.65000e-04
J000330.4+722156 0.87670 72.36560 7.00000 2.05400e-03
J000330.9+725115 0.87880 72.85420 12.00000 5.13900e-03
J000331.3-255605 0.88040 -25.93470 5.00000 6.72000e-03
