MJD mag magerr flux fluxerr
58601.4121045255 2.7622054359 0.0709300738 0.0785448701 0.0051314299
58601.4121276736 2.7175745413 0.0686436336 0.0818408598 0.0051744073
58601.4121508218 2.6284208865 0.0621604374 0.0888447246 0.005086697
58601.4121739699 2.6959513693 0.0658450961 0.0834871147 0.0050632929
58601.4121971181 2.7168386315 0.0643229142 0.0818963502 0.0048519959
58601.4122202662 2.6985984229 0.0623952217 0.0832838188 0.0047863243
58601.4122434144 2.6851098702 0.0607826738 0.0843249421 0.0047209132
58601.4122665625 2.6926703089 0.0583311447 0.0837397917 0.0044990678
58601.4122897106 2.6476775933 0.0571851955 0.0872828589 0.0045972988
58601.4123128588 2.6916819742 0.0595653538 0.0838160539 0.0045984461
58601.4123360069 2.7569847951 0.0616070253 0.0789234537 0.0044784371
58601.4123591551 2.6402275045 0.0570613789 0.0878838346 0.0046189304
58601.4123823032 2.690025479 0.0592634635 0.0839440287 0.0045821257
58601.4124054514 2.6811720149 0.0572735174 0.0846313355 0.0044645245
58601.4124285995 2.7381356177 0.0584661819 0.0803055855 0.0043245473
58601.4124517477 2.6992780196 0.0561297204 0.0832317052 0.0043030048
58601.4124748958 2.7100086295 0.0573327324 0.0824131565 0.0043520047
58601.412498044 2.7195798815 0.0562196604 0.0816898404 0.004230059
58601.4125211921 2.758705128 0.0563981049 0.0787984997 0.004093291
58601.4125443403 2.6515264689 0.0507362831 0.0869739937 0.0040644167
58601.4125674884 2.6990340502 0.0540088848 0.0832504098 0.0041413482
58601.4125906366 2.7286765542 0.0553905143 0.0810082739 0.0041329004
58601.4126137847 2.651031708 0.0533808398 0.087013636 0.0042782177
58601.4126369329 2.694945541 0.0540658418 0.0835644932 0.0041613564
58601.412660081 2.7579803419 0.0559775306 0.0788511194 0.0040654794
58601.4126832292 2.7729006358 0.0555952291 0.0777749509 0.0039826068
58601.4127063773 2.7222709502 0.0536201287 0.0814876174 0.0040244787
58601.4127295255 2.7080495921 0.0532788516 0.0825619921 0.0040515871
58601.4127526736 2.6668438523 0.0516533002 0.0857555939 0.0040799111
58601.4127758218 2.6695073497 0.0517446543 0.0855454785 0.0040771127
58601.4127989699 2.7836502436 0.0566236967 0.0770087196 0.0040163198
58601.4128221181 2.66066524 0.0514987942 0.0862449955 0.0040909213
58601.4128452662 2.671669537 0.052698592 0.0853752887 0.0041440154
58601.4128684144 2.661357422 0.0517645498 0.0861900299 0.0041094115
58601.4128915625 2.745694463 0.0540593522 0.0797484434 0.0039708476
58601.4129147107 2.7079449501 0.0530575106 0.0825699497 0.0040351441
58601.4129378588 2.7151868819 0.0527467986 0.0820210354 0.0039848458
58601.4129610069 2.7166990233 0.0531833426 0.0819068814 0.0040122333
58601.4129841551 2.7561540063 0.0536288413 0.0789838679 0.0039014583
58601.4130073032 2.6890484802 0.0501101558 0.0840195997 0.0038778993
58601.4130304514 2.7437578166 0.0523568835 0.079890819 0.0038526612
58601.4130535995 2.7154367893 0.0507543322 0.0820021585 0.0038334391
58601.4130767477 2.7265788004 0.0510166022 0.0811649415 0.0038139076
58601.4130998958 2.7051664465 0.0502359318 0.0827815248 0.0038303464
58601.413123044 2.7314021625 0.051160462 0.0808051675 0.003807709
58601.4131461921 2.7166368225 0.050964925 0.0819115739 0.0038450928
58601.4131693403 2.7426243224 0.0517884235 0.0799742675 0.0038148119
58601.4131924884 2.6689838872 0.0487289196 0.0855867323 0.0038413457
58601.4132156366 2.7226723863 0.0505171772 0.0814574941 0.0037901839
58601.4132387847 2.7215258213 0.051131544 0.0815435607 0.0038403317
58601.4132619329 2.6909987253 0.0492155398 0.0838688156 0.003801832
58601.413285081 2.7427295141 0.0507373738 0.0799665196 0.0037370279
58601.4133082292 2.6927441209 0.0491339714 0.083734099 0.0037894343
58601.4133313773 2.7776815569 0.0528686429 0.0774332303 0.0037706455
58601.4133545255 2.7124534154 0.0509642091 0.082227793 0.0038598825
58601.4133776736 2.6867896454 0.0489275821 0.0841945814 0.0037942685
58601.4134008218 2.7208975869 0.0500243247 0.0815907575 0.0037593465
58601.4134239699 2.7068562473 0.0490109387 0.0826527868 0.0037311326
58601.4134471181 2.6868228286 0.0486162559 0.0841920082 0.0037700103
58601.4134702662 2.6614670011 0.0468467619 0.0861813315 0.0037186297
58601.4134934144 2.6701247431 0.0473657437 0.0854968478 0.0037299639
58601.4135165625 2.6930844749 0.0473913142 0.0837078544 0.0036538871
58601.4135397107 2.6819409903 0.0468805925 0.0845714163 0.0036517989
58601.4135628588 2.7369651634 0.0498361275 0.0803922039 0.0036901871
58601.4135860069 2.6910850808 0.0484482415 0.0838621452 0.0037422616
58601.4136091551 2.7034235399 0.0496136972 0.0829145187 0.0037889802
58601.4136323032 2.7882621189 0.0508352846 0.0766823039 0.003590464
58601.4136554514 2.6981988117 0.0478829927 0.0833144776 0.0036744465
58601.4136785995 2.6892510134 0.0467524765 0.0840039281 0.003617382
58601.4137225116 2.7183071622 0.0479955154 0.0817856548 0.0036154966
58601.4137456597 2.6834858185 0.0467709845 0.0844511704 0.0036380809
58601.4137688079 2.6798585751 0.0463237123 0.0847337779 0.0036153478
58601.413791956 2.6733298829 0.0457363938 0.0852448296 0.003591039
58601.4138151042 2.7108750837 0.0473201409 0.0823474142 0.003589105
58601.4138382523 2.7333147591 0.046735285 0.0806629492 0.0034722353
58601.4138614005 2.6887064962 0.0456900996 0.0840460682 0.0035369561
58601.4138845486 2.7654596619 0.0475148724 0.0783098037 0.0034271717
58601.4139076968 2.7053168901 0.0456397886 0.082770055 0.0034794214
58601.4139308449 2.6942954386 0.0458503352 0.0836145438 0.0035311365
58601.4139539931 2.7204862209 0.0461839216 0.0816216766 0.0034720541
58601.4139771412 2.6709697936 0.0451179074 0.0854303297 0.0035501867
58601.4140002894 2.6793961579 0.0445494787 0.0847698738 0.0034783584
58601.4140234375 2.7216062322 0.0453791579 0.0815375217 0.0034080354
58601.4140465857 2.6719713024 0.044845996 0.0853515631 0.0035255373
58601.4140697338 2.7085376599 0.0447364125 0.0825248866 0.0034004489
58601.4140928819 2.7055498265 0.0452607513 0.0827522993 0.0034497847
58601.4141160301 2.6944154076 0.0441722221 0.0836053053 0.0034015217
58601.4141391782 2.7190493739 0.0447574324 0.0817297651 0.0033692682
58601.4141623264 2.6405871058 0.041358388 0.0878547319 0.0033467165
58601.4141854745 2.6705005691 0.042562569 0.0854672583 0.0033505628
58601.4142086227 2.7323910473 0.0443524704 0.080731604 0.0032980069
58601.4142317708 2.706906809 0.0430178828 0.0826489378 0.0032747373
58601.414254919 2.6734639868 0.0420987105 0.0852343013 0.0033050144
58601.4142780671 2.6670985228 0.0428549602 0.0857354814 0.0033841675
58601.4143012153 2.6894053508 0.0428094315 0.0839919878 0.0033118258
58601.4143243634 2.6795941126 0.0418911402 0.0847544198 0.0032702029
58601.4143475116 2.7405377698 0.0433964548 0.0801281087 0.0032027962
58601.4143706597 2.6915049076 0.0425343172 0.0838297241 0.0032841854
58601.4143938079 2.7209206026 0.0432968108 0.0815890279 0.0032537024
58601.414416956 2.7235855374 0.0429624787 0.0813890136 0.003220663
58601.4144401042 2.6878731896 0.0419231665 0.0841105987 0.0032478425
58601.4144632523 2.7413207161 0.0431824711 0.0800703475 0.0031847062
58601.4144864005 2.7241439141 0.0424823184 0.0813471673 0.0031830305
58601.4145095486 2.7111793148 0.0417280649 0.0823243431 0.0031640744
58601.4145326968 2.7052903315 0.0415074099 0.0827720797 0.0031644604
58601.4145558449 2.6981021335 0.0406519959 0.0833218965 0.0031198318
58601.4145789931 2.6410103116 0.0392618449 0.0878204939 0.0031758263
58601.4146021412 2.7278379475 0.0411606933 0.0810708676 0.0030735315
58601.4146252894 2.7511129546 0.0419096478 0.0793514411 0.0030630846
58601.4146484375 2.7074798742 0.0403524204 0.0826053262 0.003070208
58601.4146715857 2.7252151096 0.0402854504 0.0812669491 0.0030154515
58601.4146947338 2.724019247 0.041188697 0.0813565083 0.003086459
58601.4147178819 2.7073691722 0.0403749506 0.0826137491 0.0030722355
58601.4147410301 2.7139516007 0.040853234 0.0821144068 0.0030898398
58601.4147641782 2.7375484564 0.0418613041 0.0803490262 0.0030980151
58601.4147873264 2.7116072354 0.0410880113 0.0822919031 0.0031143139
58601.4148104745 2.7290125322 0.0416345966 0.08098321 0.003105557
58601.4148336227 2.68887263 0.0413857468 0.0840332089 0.0032032579
58601.4148567708 2.6529402504 0.0406832782 0.086860815 0.0032548427
58601.414879919 2.7382797535 0.0427702177 0.0802949253 0.0031631495
58601.4149030671 2.6660780169 0.0403943735 0.0858161039 0.0031928597
58601.4149262153 2.7105843698 0.0412819025 0.0823694663 0.0031319594
58601.4149493634 2.6663809631 0.0394045997 0.0857921625 0.0031137569
58601.4149725116 2.733094424 0.0409104257 0.0806793202 0.0030400897
58601.4149956597 2.7158761274 0.0402088344 0.0819689834 0.0030357164
58601.4150188079 2.7043030305 0.040453192 0.0828473817 0.0030868942
58601.415041956 2.7179550773 0.0402013657 0.0818121807 0.0030293464
58601.4150651042 2.7273012654 0.0407734457 0.0811109511 0.0030461204
58601.4150882523 2.6901921367 0.0394732951 0.0839311445 0.0030515233
58601.4151114005 2.6932244225 0.0398697857 0.0836970654 0.0030735784
58601.4151345486 2.7169460934 0.040002809 0.0818882448 0.0030171869
58601.4151576968 2.7305753292 0.0411987 0.0808667275 0.0030686231
58601.4151808449 2.7555765649 0.0418368721 0.0790258861 0.0030452205
58601.4152039931 2.7206730991 0.0406745389 0.081607629 0.0030573387
58601.4152271412 2.6866450904 0.0404462292 0.0842057918 0.0031369686
58601.4152502894 2.7302659559 0.041170651 0.0808897732 0.0030674078
58601.4152734375 2.7557284927 0.0426152016 0.0790148287 0.0031014395
58601.4152965856 2.7132100545 0.0404352206 0.0821705092 0.0030603138
58601.4153197338 2.7261041674 0.0410299462 0.0812004307 0.0030686647
58601.4153428819 2.7006049349 0.0404404073 0.083130047 0.0030964474
58601.4153660301 2.7093698081 0.0401937873 0.0824616607 0.0030528198
58601.4153891782 2.764990643 0.0420320555 0.0783436394 0.0030330148
58601.4154123264 2.6826120705 0.0399926257 0.0845191599 0.0031133307
58601.4154354745 2.6983438409 0.0403251632 0.0833033494 0.0030940602
58601.4154586227 2.7527281657 0.0418548123 0.0792334805 0.0030545293
58601.4154817708 2.698869984 0.0394722961 0.0832629907 0.0030271543
58601.415504919 2.7152014344 0.0413698126 0.082019936 0.0031253103
58601.4155280671 2.6596009973 0.0403594661 0.0863295746 0.0032091881
58601.4155512153 2.7065242066 0.0400837492 0.0826780676 0.0030524518
58601.4155743634 2.6962792073 0.0396313559 0.0834619096 0.0030466138
58601.4155975116 2.7591555242 0.0411236187 0.0787658185 0.0029834535
58601.4156206597 2.6862811554 0.0395705683 0.084234022 0.0030700821
58601.4156438079 2.7165350377 0.0400908927 0.0819192533 0.0030249756
58601.415666956 2.7275542681 0.0413294646 0.0810920525 0.0030869403
58601.4156901042 2.7049346145 0.0401646399 0.0827992026 0.0030630931
58601.4157132523 2.7633616647 0.0422176917 0.0784612701 0.0030509844
58601.4157364005 2.7119492693 0.0398139017 0.0822659832 0.0030167908
58601.4157595486 2.6666330112 0.0389222649 0.0857722486 0.0030749288
58601.4157826968 2.6671118829 0.0385928542 0.0857344264 0.0030475603
58601.4158058449 2.7020999068 0.0393134345 0.0830156623 0.0030060153
58601.4158289931 2.7421074915 0.0397995697 0.0800123458 0.002933091
58601.4158521412 2.6933315642 0.0388505804 0.0836888065 0.0029947119
58601.4158752894 2.6830173716 0.0382009926 0.0844876152 0.0029727464
58601.4158984375 2.7238453578 0.0391174858 0.0813695393 0.0029317231
58601.4159215856 2.6735709921 0.0377437794 0.0852259014 0.0029628328
58601.4159447338 2.7054345051 0.0387743758 0.0827610893 0.0029557056
58601.4159678819 2.7055764487 0.0382601925 0.0827502702 0.002916129
58601.4159910301 2.7343211071 0.0389525547 0.0805882189 0.00289133
58601.4160141782 2.6776174035 0.0373530978 0.0849088656 0.0029212574
58601.4160581134 2.7302532527 0.038575625 0.0808907196 0.0028740997
58601.4160812616 2.7042331612 0.0377035463 0.0828527133 0.0028772599
58601.4161044097 2.7040067999 0.0380580925 0.0828699888 0.0029049219
58601.4161275579 2.7021875937 0.0378142955 0.0830089581 0.0028911534
58601.416150706 2.7146291427 0.0387413755 0.0820631801 0.0029282863
58601.4161738542 2.7050218182 0.0383556049 0.0827925526 0.0029248949
58601.4161970023 2.7408328977 0.0392330222 0.080106331 0.0028947347
58601.4162201505 2.708226173 0.0377975656 0.0825485655 0.0028738462
58601.4162432986 2.7121873665 0.0382311946 0.0822479446 0.0028962302
58601.4162664468 2.7569189127 0.0396397724 0.078928243 0.0028817331
58601.4162895949 2.7563234217 0.0389865678 0.0789715444 0.0028358013
58601.4163127431 2.7666908733 0.0397443341 0.0782210517 0.0028634463
58601.4163358912 2.780392324 0.0406162652 0.0772401432 0.00288957
58601.4163590394 2.7820730419 0.0404312754 0.0771206681 0.00287196
58601.4163821875 2.8189439074 0.041031507 0.0745456725 0.0028172804
58601.4164053357 2.8159606959 0.0411324819 0.0747507788 0.002831984
58601.4164284838 2.6672501623 0.0370488935 0.085723508 0.0029252658
58601.4164516319 2.8208095823 0.0407626114 0.0744176869 0.0027940124
58601.4164747801 2.8087537906 0.0401012701 0.0752486103 0.0027793726
58601.4164979282 2.8590178751 0.0422899348 0.0718443881 0.002798466
58601.4165210764 2.8400505571 0.0411636336 0.0731105039 0.0027719388
58601.4165442245 2.85433977 0.0419649481 0.0721546114 0.0027889514
58601.4165673727 2.9244220589 0.0442843961 0.0676442952 0.0027591294
58601.4165905208 2.9175278021 0.0438069286 0.0680751927 0.0027467672
58601.416613669 2.8714030684 0.0423265247 0.0710295025 0.0027691185
58601.4166368171 2.8699193916 0.0425999672 0.0711266318 0.002790819
58601.4166599653 2.8414285429 0.0415169919 0.073017773 0.0027921878
58601.4166831134 2.8668746418 0.0420859074 0.0713263735 0.0027648845
58601.4167062616 2.8854299141 0.0421405041 0.0701177601 0.0027215601
58601.4167294097 2.8837853435 0.0426390214 0.0702240484 0.0027579301
58601.4167525579 2.8796794608 0.0425809889 0.0704901144 0.0027646116
58601.416775706 2.9113803634 0.043823384 0.0684617277 0.0027634011
58601.4167988542 2.877251682 0.0426712484 0.0706479114 0.0027766736
58601.4168220023 2.9209168997 0.0435652937 0.067863029 0.0027231029
58601.4168451505 2.8791973634 0.0423959636 0.070521421 0.0027538211
58601.4168682986 2.8757142943 0.0427352205 0.0707480188 0.0027847768
58601.4168914468 2.8189884415 0.0405329647 0.0745426149 0.0027829356
