MJD mag magerr flux fluxerr
58560.4736649653 2.8256480161 0.0512221482 0.0740867926 0.0034953345
58560.4737695833 2.7799306901 0.0482107087 0.0772729912 0.0034313214
58560.4738741319 2.911373543 0.0545087697 0.0684621577 0.0034372184
58560.4739786574 2.7740832037 0.0486295212 0.0776902857 0.0034798208
58560.4740832176 2.8971880806 0.0532153081 0.0693625048 0.0033997854
58560.4741877778 2.7642764795 0.047841286 0.0783951884 0.0034544779
58560.4742923727 2.799826584 0.0493966468 0.0758698746 0.0034518904
58560.4743969792 2.8468988298 0.0512943838 0.0726508112 0.0034324202
58560.4745014815 2.7898764599 0.0494249383 0.0765683725 0.0034856655
58560.4746060069 2.8374786506 0.0510008227 0.0732838943 0.0034425153
58560.4747105671 2.8018977809 0.0493856362 0.07572528 0.0034445437
58560.4748151389 2.9220243359 0.0545553221 0.0677938449 0.0034065718
58560.4749197107 2.8293616322 0.0509863627 0.0738338215 0.0034673648
58560.4750242824 2.8869224701 0.0524134781 0.0700214358 0.0033803693
58560.4751288657 2.9315685665 0.0547318549 0.0672005107 0.0033876841
58560.4752334143 2.81046375 0.049664529 0.0751301922 0.0034367741
58560.4753379398 2.8051507263 0.0487690417 0.075498741 0.0033913616
58560.4754425 2.7772692588 0.0483026787 0.0774626404 0.0034463047
58560.4755470718 2.887577295 0.0524179479 0.0699792175 0.0033786193
58560.4756516088 2.7866220987 0.0497038134 0.0767982211 0.0035158556
58560.4757562268 2.8820744466 0.051865973 0.0703347942 0.0033600281
58560.4758607755 2.7795800077 0.048828535 0.0772979537 0.0034764169
58560.4759652894 2.7688568949 0.0474972135 0.0780651578 0.0034151952
58560.4760698843 2.8263641962 0.0502741047 0.0740379391 0.003428379
58560.4761745023 2.8048243213 0.0498141439 0.0755214416 0.0034650787
58560.4762790625 2.8106381147 0.049738898 0.0751181276 0.0034413677
58560.476383588 2.7475400667 0.0469668527 0.079612997 0.0034440194
58560.4764881481 2.8343318877 0.0503012768 0.0734965993 0.0034051513
58560.4765926736 2.8195236723 0.0493936234 0.074505877 0.0033896244
58560.4766972222 2.7966432618 0.0483979494 0.0760926476 0.003392031
58560.4768017824 2.845895964 0.050362645 0.0727179479 0.0033731861
58560.4769063542 2.7742489773 0.0477540654 0.0776784246 0.0034166534
58560.4770109375 2.8749981955 0.0519604506 0.0707946961 0.0033881591
58560.477115463 2.8566670738 0.0512904939 0.0720001118 0.0034014196
58560.4772200463 2.8165114211 0.049374116 0.0747128721 0.0033976992
58560.4773245833 2.8397768199 0.0507797486 0.0731289389 0.0034203455
58560.4774291435 2.8515340088 0.0512069127 0.0723413146 0.0034119696
58560.4775337153 2.8428629585 0.0510323713 0.0729213695 0.0034276047
58560.4776382639 2.8540820103 0.0513492425 0.0721717433 0.0034134331
58560.4777428588 2.9966209681 0.0564545917 0.0632924071 0.0032910998
58560.4778474421 3.0355156494 0.0588565584 0.0610651939 0.003310387
58560.4779519792 3.1720634904 0.0661172329 0.0538486232 0.0032792871
58560.4780565162 3.3429919794 0.075334159 0.0460048065 0.0031921649
58560.478161088 3.3054985511 0.0734462831 0.0476212268 0.003221518
58560.4782656481 3.3295348746 0.0744321571 0.0465785592 0.0031932787
58560.4783702431 3.2358163627 0.0695123382 0.0507777502 0.003251064
58560.4784748495 3.2116259779 0.0676360636 0.0519217843 0.0032345815
58560.478579375 3.0037124937 0.0578507648 0.0628803575 0.0033505359
58560.4786838889 2.908683593 0.0536853656 0.0686319855 0.0033936937
58560.4787884375 2.7947087921 0.0486531112 0.0762283436 0.0034159953
58560.4788930093 3.0175614554 0.0577134707 0.0620833892 0.0033002191
58560.4789976736 2.8415634376 0.0494670972 0.0730087016 0.0033264516
58560.4791021296 2.7358487569 0.0462738207 0.0804749096 0.003429936
58560.4792066898 2.9125943554 0.0527761977 0.0683852215 0.0033242258
58560.4793112384 2.8857035181 0.0519910306 0.0701000928 0.0033568906
58560.4794157986 2.7855482708 0.0486899337 0.0768742146 0.0034475457
58560.4795203704 2.7953833646 0.0486090611 0.0761809974 0.0034107827
58560.4796249537 2.7954888761 0.047715559 0.0761735945 0.0033477624
58560.4797295602 2.8211999703 0.0495230846 0.0743909341 0.0033932657
58560.4798341204 2.8918634963 0.0512193026 0.0697035025 0.0032883529
58560.4799386806 2.8497504763 0.0496106396 0.0724602469 0.0033110428
58560.4800431597 2.7801332339 0.0479728601 0.0772585773 0.003413756
58560.4801477199 2.8415501792 0.0501519238 0.0730095931 0.0033725445
58560.4802523611 2.7905356902 0.0490095528 0.0765218963 0.0034542727
58560.4803569213 2.8566226071 0.0505404588 0.0720030606 0.003351817
58560.4804614005 2.8475013462 0.0500015775 0.0726105057 0.0033440544
58560.4805659838 2.8923593904 0.0517835378 0.0696716737 0.0033230595
58560.480670544 2.8289787653 0.0489465561 0.0738598623 0.0033298203
58560.4807751042 2.8093402723 0.0487042702 0.0752079743 0.0033738137
58560.4808796643 2.7938849363 0.0476217794 0.0762862076 0.0033461223
58560.4809842361 2.7237252434 0.0453585713 0.0813785416 0.0033998475
58560.4810887847 2.8299867687 0.0489685658 0.0737913223 0.0033282262
58560.4811933796 2.802962233 0.0484248827 0.0756510755 0.0033742235
58560.4812979398 2.7973949566 0.0476090337 0.0760399841 0.0033344296
58560.4814024653 2.7593081297 0.0463159853 0.0787547484 0.0033596793
58560.4815070486 2.8506803286 0.0496778453 0.0723982167 0.0033126899
