MJD mag magerr flux fluxerr
58703.3878186741 2.8105068782 0.0325507679 0.0751272079 0.0022524162
58703.3878575609 2.8242987479 0.0334600596 0.0741789191 0.0022861113
58703.3878964476 2.820796742 0.0330220893 0.074418567 0.0022634766
58703.3879353344 2.7545944399 0.0316339548 0.0790974029 0.0023046548
58703.3879742211 2.7726282899 0.0319855145 0.0777944624 0.0022918816
58703.3880131079 2.8144162592 0.0324084374 0.0748571858 0.0022345072
58703.3880519946 2.7747090868 0.0318885288 0.0776455133 0.0022805574
58703.3880908814 2.7492556422 0.0314386985 0.0794872996 0.0023017199
58703.3881297681 2.8316368506 0.0334235745 0.0736792607 0.0022682364
58703.3881686549 2.813911036 0.0329304916 0.0748920271 0.0022715587
58703.3882075416 2.8042487922 0.0323659563 0.0755614848 0.0022525741
58703.3882464284 2.7506856824 0.0316581888 0.0793826746 0.0023147386
58703.3882853151 2.7665539093 0.0320781205 0.0782309198 0.0023114128
58703.3883242018 2.8102021001 0.0325135193 0.0751482999 0.0022504704
58703.3883630886 2.7864233798 0.0321841097 0.0768122785 0.0022769962
58703.3884019753 2.7736747834 0.0321686206 0.0777195159 0.0023027813
58703.3884408621 2.78559975 0.0322345307 0.0768705697 0.0022822941
58703.3884797488 2.8134616428 0.0328572924 0.0749230318 0.0022674477
58703.3885186356 2.7590302439 0.0312131317 0.0787749076 0.0022647247
58703.3885575223 2.7980423641 0.0325994383 0.0759946562 0.0022818303
58703.3885964091 2.7878459743 0.0319392866 0.0767117005 0.0022567164
58703.3886352958 2.7700612849 0.0320546929 0.0779786094 0.0023022754
58703.3886741826 2.7684425708 0.0313286621 0.0780949537 0.0022534866
58703.3887130693 2.760631454 0.0313079747 0.0786588184 0.0022682585
58703.3887519561 2.8284802738 0.0327118921 0.0738937812 0.0022264027
58703.3887908428 2.8082287406 0.0326718168 0.0752850085 0.0022655411
58703.3888297295 2.7873094048 0.0322405984 0.0767496207 0.0022791321
58703.3888686163 2.774622756 0.0323577957 0.0776516874 0.0023143018
58703.388907503 2.7889663465 0.0324503798 0.0766325825 0.0022904637
58703.3889463898 2.7866703927 0.0322181532 0.0767948052 0.0022788862
58703.3889852765 2.7699904473 0.0317077813 0.0779836972 0.0022775076
58703.3890241633 2.8029978865 0.0325758128 0.0756485913 0.0022697931
58703.38906305 2.83737893 0.0335987774 0.0732906255 0.0022680993
58703.3891019368 2.8111150445 0.0327744071 0.0750851378 0.0022666214
58703.3891408235 2.7904705632 0.0321696581 0.0765264866 0.0022675057
58703.3891797103 2.8127341091 0.0325149913 0.0749732533 0.0022453299
58703.389218597 2.8358102893 0.0336684001 0.0733965902 0.0022760853
58703.3892574838 2.8136970354 0.0326900998 0.0749067899 0.0022554209
58703.3892963705 2.7765000522 0.0320908668 0.0775175395 0.0022912453
58703.3893352573 2.7946305109 0.0325031736 0.0762338399 0.0022822527
58703.389374144 2.7154656548 0.0306672567 0.0819999784 0.0023162148
58703.3894130307 2.7557850909 0.0315263191 0.0790107099 0.0022942957
58703.3894519175 2.7801810739 0.0316665995 0.0772551732 0.0022533008
58703.3894908042 2.7984486094 0.0324946745 0.0759662269 0.0022736463
58703.389529691 2.8066412036 0.0329275357 0.0753951689 0.0022866143
58703.3895685777 2.8036692585 0.0328560391 0.075601828 0.0022879033
58703.3896074645 2.7941265495 0.0324305196 0.0762692332 0.0022782084
58703.3896463512 2.7654856882 0.0315173664 0.0783079265 0.0022732427
58703.389685238 2.80039188 0.0324727274 0.0758303827 0.0022680477
58703.3897241247 2.7945390411 0.0322304661 0.0762402626 0.0022632948
58703.3897630115 2.8330129921 0.0331121196 0.0735859334 0.0022442537
58703.3898018982 2.7705436007 0.0320119456 0.0779439767 0.002298184
58703.389840785 2.7898030094 0.0322929152 0.0765735526 0.0022775935
58703.3898796717 2.7941377841 0.0321602233 0.076268444 0.002259197
58703.3899185584 2.7889798517 0.0323162801 0.0766316293 0.0022809701
58703.3899574452 2.8105557706 0.0331943532 0.0751238249 0.002296847
58703.3899963319 2.8113967852 0.0324044156 0.0750656563 0.002240452
58703.3900352187 2.7923951562 0.0326198515 0.0763909547 0.0022951659
58703.3900741054 2.7918077636 0.0322712708 0.076432294 0.0022718682
58703.3901129922 2.7828118553 0.0321397115 0.0770682075 0.0022814313
58703.3901518789 2.7502606681 0.030869489 0.0794137552 0.0022579553
58703.3901907657 2.7780311454 0.0320074285 0.0774083021 0.0022820675
58703.3902296524 2.8191179131 0.0332272311 0.0745337264 0.0022810623
58703.3902685392 2.8087082439 0.0328534868 0.0752517671 0.0022771327
58703.3903074259 2.7913284796 0.0323348736 0.0764660415 0.0022773508
58703.3903463127 2.8084920253 0.0328166072 0.0752667545 0.0022750295
58703.3903851994 2.7716530564 0.0314201884 0.0778643706 0.0022533971
58703.3904240862 2.7802968306 0.0323168486 0.077246937 0.0022993254
58703.3904629729 2.7829017276 0.0319535479 0.0770618284 0.0022680288
58703.3905018596 2.8021128842 0.0323854514 0.075710279 0.0022583693
58703.3901765856 2.811664775 0.0330877027 0.0750471303 0.0022871301
58703.3902113214 2.7635534667 0.031775961 0.0784474107 0.0022959767
58703.3902460572 2.7703274663 0.031871366 0.0779594943 0.0022885471
58703.390280793 2.8075515013 0.0327374714 0.075331983 0.0022715102
58703.3903155288 2.8000322552 0.0326433937 0.0758555039 0.0022807231
58703.3903502646 2.8137964151 0.0333723006 0.0748999338 0.0023022779
58703.3903850004 2.7696416907 0.0315224427 0.0780087509 0.0022649225
58703.3904197362 2.7742714921 0.0315281484 0.0776768138 0.0022556932
58703.390454472 2.8187972704 0.0331858504 0.0745557411 0.0022788944
58703.3904892078 2.7501810965 0.0316059324 0.0794195755 0.002311992
58703.3905239436 2.8470854293 0.0335163076 0.0726383262 0.0022423952
58703.3905586794 2.7513364464 0.0313362627 0.0793351088 0.0022898276
58703.3905934152 2.7838468058 0.0321402777 0.0769947792 0.0022792978
58703.390628151 2.7782533705 0.0320331977 0.0773924601 0.0022834374
58703.3906628868 2.7853476409 0.0322021591 0.0768884213 0.0022805316
58703.3906976226 2.7871501897 0.0321239338 0.0767608763 0.0022712179
58703.3907323584 2.8212520756 0.0329915786 0.0743873641 0.0022604371
58703.3907670942 2.8577825701 0.0338123236 0.0719261761 0.0022400213
58703.39080183 2.8240924204 0.033340464 0.074193017 0.002278373
58703.3908365658 2.8223877561 0.0326824695 0.0743095956 0.0022369173
58703.3908713016 2.7801606395 0.0319898822 0.0772566272 0.0022763474
58703.3909060374 2.7510817001 0.0317297623 0.0793537253 0.0023191258
58703.3909407732 2.8056914441 0.0326173493 0.0754611505 0.002267056
58703.390975509 2.8025166559 0.032831564 0.0756821285 0.0022886273
58703.3910102448 2.7932715013 0.0325381159 0.0763293211 0.0022875677
58703.3910449806 2.7868707808 0.0323060968 0.0767806329 0.0022846851
58703.3910797164 2.7853382066 0.0322179973 0.0768890894 0.0022816731
58703.3911144522 2.7946239077 0.0322399504 0.0762343035 0.0022637839
58703.391149188 2.7948468746 0.0326512101 0.0762186496 0.0022921904
58703.3911839238 2.7703222826 0.0319024622 0.0779598665 0.0022907909
58703.3912186596 2.7977295433 0.0325637923 0.0760165548 0.002279992
58703.3912533954 2.7404797188 0.0313005232 0.080132393 0.0023102016
58703.3912881312 2.8475958035 0.0337292749 0.072604189 0.0022555832
58703.391322867 2.7913186302 0.0323350864 0.0764667352 0.0022773865
58703.3913576028 2.7810924453 0.0318514466 0.0771903521 0.0022645523
58703.3913923386 2.8414338426 0.0334804519 0.0730174165 0.0022516866
58703.3914270744 2.7968426698 0.0323374569 0.0760786736 0.002265995
58703.3914618102 2.8595031467 0.0340434474 0.0718122843 0.0022517617
58703.391496546 2.7405413043 0.031057339 0.0801278479 0.0022921228
58703.3915312818 2.7751562042 0.032013995 0.0776135446 0.0022885877
58703.3915660176 2.7724029013 0.0321910927 0.0778106135 0.002307091
58703.3916007534 2.794558659 0.0322792933 0.0762388851 0.0022666826
58703.3916354892 2.8245847624 0.0333750706 0.0741593808 0.0022797039
58703.391670225 2.7698108093 0.0319179688 0.0779966009 0.0022929843
