    0.759941252315598392E+00   -0.356494670440528161E+01   -0.943577730507860757E+00    0.970204683743595098E+01   -0.209411258490993362E+02
    0.340896634331172343E+00   -0.424128153797983654E+01   -0.486792800001805581E+00    0.956079482162743766E+01   -0.195158196871632512E+02
    0.601077982717618253E+00   -0.101094845560262048E+01   -0.244592068237955251E+01    0.962402069296387097E+01   -0.185271909822817982E+02
    0.375519737011459465E+00   -0.306960267284245258E+01   -0.289658428072793228E+01    0.923448236539132239E+01   -0.179412112361178018E+02
    0.551866021813371299E+00   -0.755331933013180468E+00   -0.269027305510235104E+01    0.959236574425695387E+01   -0.177670716223716738E+02
    0.590597601276611095E+00   -0.218791873916486246E+00   -0.154520542011599593E+01    0.957424715676627613E+01   -0.177328096989615815E+02
    0.583649700555213591E+00   -0.136175709591194316E+01   -0.744235017611611926E+00    0.957919663990062986E+01   -0.177306984419002305E+02
    0.381781400306333007E+00   -0.264602898729517433E+01   -0.871207030969403107E+00    0.954907271713095085E+01   -0.176378601687303416E+02
    0.528826162459338667E+00   -0.449598955345627971E+01   -0.126461749267972001E+01    0.958013379091652162E+01   -0.175469279634877395E+02
    0.436530511448971092E+00   -0.466071161106740828E+01   -0.285326611999953350E+01    0.957440893809782168E+01   -0.173767577023595976E+02
    0.509536373434298584E+00   -0.222399976795174936E+01   -0.255876232940847625E+01    0.952580693682003776E+01   -0.173302120767257648E+02
    0.461525732967834723E+00   -0.289032203673303734E+00   -0.296512941559783405E+01    0.954797370653652244E+01   -0.168060823156764343E+02
    0.417438943089177006E+00   -0.315838234577191201E+01   -0.218911271133071628E+01    0.943297551831520664E+01   -0.165701540118230000E+02
    0.454023470907766014E+00   -0.310543174258168442E+01   -0.492523835830032564E+00    0.949633889707589063E+01   -0.160945107402521401E+02
    0.350371601249573339E+00   -0.131541937204958392E+01   -0.109439265717323764E+00    0.947519716822790770E+01   -0.160178070817382121E+02
    0.470916915664742530E+00   -0.229754540102677041E+00   -0.713738509733746085E+00    0.951053946310260656E+01   -0.160067558523673910E+02
    0.250176743085522679E+00   -0.322352972474820954E+01   -0.602394418087431660E+00    0.931913009668152803E+01   -0.159718871212357563E+02
    0.430398709718720796E+00   -0.251346066555141290E+01   -0.210159194072544775E+01    0.951102321808480689E+01   -0.158901166547647925E+02
    0.385360607777021635E+00   -0.120747825426632271E+01   -0.284500417116273985E+01    0.925747670675096046E+01   -0.157826290194505567E+02
    0.259916736985462360E+00   -0.450811317782857390E+01   -0.144730502467990996E+01    0.922087490809811072E+01   -0.156058997852751009E+02
    0.425838528864369459E+00   -0.304177565907631120E+01   -0.456995024409802664E+00    0.949122732328664043E+01   -0.155250541386414831E+02
    0.422188805909577636E+00   -0.419407335700471950E+01   -0.309972699250988359E+00    0.947829916213040846E+01   -0.154934426170551660E+02
    0.420019194019061515E+00   -0.129720798437203655E+01   -0.246282762773010244E+01    0.944698652675145745E+01   -0.153763722811982912E+02
